State_ID,State
"AB","Alberta"
"AE","Armed Forces Europe"
"AK","Alaska"
"AL","Alabama"
"AP","Armed Forces Pacific"
"AR","Arkansas"
"AZ","Arizona"
"BC","British Columbia"
"CA","California"
"CO","Colorado"
"CT","Connecticut"
"DC","District of Columbia"
"FL","Florida"
"GA","Georgia"
"GU","Guam"
"HI","Hawaii"
"IA","Iowa"
"ID","Idaho"
"IL","Illinois"
"IN","Indiana"
"KS","Kansas"
"KY","Kentucky"
"LA","Louisiana"
"MA","Massachussetts"
"MD","Maryland"
"ME","Maine"
"MI","Michigan"
"MN","Minnesota"
"MO","Missouri"
"MS","Mississippi"
"NC","North Carolina"
"NE","Nebraska"
"NH","New Hampshire"
"NJ","New Jersey"
"NM","New Mexico"
"NV","Nevada"
"NY","New York"
"OH","Ohio"
"OK","Oklahoma"
"OR","Oregon"
"PA","Pennsylvania"
"QC","Quebec"
"RI","Rhode Island"
"SC","South Carolina"
"SD","South Dakota"
"TN","Tennessee"
"TX","Texas"
"UT","Utah"
"VA","Virginia"
"WA","Washington"
"WI","Wisconsin"
"WY","Wyoming"
